n,sex,age,color_1,color_2,color_3,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,f_hair
1,F,22,103.4918033,82.11967213,69.56229508,1.816407535,1.227818744,2.222004745,0.802154037,1.820292866,0.834870201,0.949508757,0.88051334,1.742792339,1.801515752,1.48433683,1.351393289,0.733180553,0.395553684,0.451051598,0
2,M,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,M,13,97.24055944,75.6993007,61.68251748,1.378865829,1.180476983,1.892917329,0.707671815,1.7272675,0.687594611,0.537558044,0.573384877,1.82196264,1.490785867,1.381911532,1.200775673,0.636174058,0.422360796,0.447017659,0
4,F,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,F,18,127.8780488,128.1788618,132.898374,1.823416823,1.233069936,2.339678118,0.674323179,1.352277712,1.999409449,3.955156951,7.661087866,1.395475666,2.180187638,1.18783789,1.24633443,1.845659164,0.387968473,0.465173043,0
6,F,20,121.7317073,120.7845528,122.7276423,1.421414355,1.427545598,2.054826161,0.711795174,1.619032279,1.141961131,1.206880901,1.523229321,1.347495034,1.470639075,1.24656879,1.342748122,1.980811808,0.406188122,0.419744593,0
7,M,19,139.9777778,115.4761905,103.3555556,1.307785774,1.42969562,1.992693619,0.697349357,1.611118395,1.112132655,1.484927605,2.29517917,1.57854799,1.62129008,1.13036258,1.073965566,0.65915274,0.422204705,0.462503352,0
8,F,23,123.2060606,93.84242424,73.5030303,6.678313784,1.05716676,2.098719772,0.678082947,1.479047283,0.908100626,0.843639922,1.224117819,2.052412808,1.804356761,1.219015519,1.163322774,0.891526289,1.366569447,0.482508258,0
9,M,26,137.6606557,99.84262295,87.46721311,1.598326443,1.306933947,2.152581872,0.746078306,1.672283669,0.910566757,0.822159231,0.706034584,1.796719104,1.657384248,1.296612159,1.215798469,0.70375,0.404726793,0.459053038,1
10,F,18,76.21616162,50.68686869,37.27272727,1.153723843,1.42848369,1.941779888,0.596686843,1.304981362,0.715441176,0.428144272,0.911183418,2.374277665,1.783248588,1.194591888,1.181683083,0.603043638,0.388732513,0.490898861,0
