n,sex,age,color_1,color_2,color_3,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15
1,"F",22,103.491803278689,82.1196721311475,69.5622950819672,1.81640753467379,1.22781874405328,2.22200474495848,0.802154037213883,1.82029286599873,0.834870201463365,0.949508756941478,0.880513340087807,1.74279233870968,1.80151575193184,1.48433683000431,1.35139328893773,0.733180553282042,0.395553683521878,0.451051597671527
2,"M",55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"M",13,97.2405594405594,75.6993006993007,61.6825174825175,1.37886582880552,1.18047698280643,1.89291732871106,0.707671814810815,1.72726750035935,0.687594610959733,0.537558044250204,0.573384877473463,1.82196264035043,1.49078586658544,1.38191153238546,1.20077567309314,0.636174058112048,0.42236079590465,0.44701765940806
4,"F",52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"F",18,127.878048780488,128.178861788618,132.89837398374,1.82341682341682,1.23306993575068,2.33967811822965,0.674323179162393,1.35227771163607,1.9994094488189,3.95515695067272,7.66108786610887,1.39547566642211,2.1801876379691,1.18783788965147,1.24633442995816,1.84565916398713,0.387968473317859,0.465173043118023
6,"F",20,121.731707317073,120.784552845528,122.727642276423,1.42141435489574,1.42754559816171,2.05482616095308,0.711795174127258,1.61903227884801,1.14196113074205,1.20688090050835,1.52322932144626,1.34749503420879,1.47063907546424,1.24656878978548,1.34274812163173,1.9808118081181,0.406188121735703,0.419744593442369
7,"M",19,139.977777777778,115.47619047619,103.355555555556,1.30778577437144,1.42969561989606,1.99269361909401,0.69734935651581,1.61111839517504,1.1121326547365,1.48492760503205,2.29517916988913,1.57854799015586,1.62129007968878,1.13036257957376,1.07396556567805,0.659152739992228,0.422204704951081,0.462503351558037
8,"F",23,123.206060606061,93.8424242424242,73.5030303030303,-6.67831378446812,1.05716675962075,2.09871977240398,0.678082947275535,1.47904728280057,0.908100625902744,0.843639921722112,1.22411781860601,2.05241280768981,1.80435676120017,1.21901551857313,1.16332277367124,0.891526288922934,1.3665694470449,0.482508257790817
9,"M",26,137.660655737705,99.8426229508197,87.4672131147541,1.59832644315403,1.30693394676306,2.15258187170367,0.746078306338477,1.67228366948601,0.910566757178346,0.822159230958834,0.706034584166566,1.79671910387464,1.65738424767939,1.29661215867303,1.21579846919818,0.703749999999998,0.404726792850944,0.459053038000406
10,"F",18,76.2161616161616,50.6868686868687,37.2727272727273,1.15372384293882,1.42848369045994,1.94177988759754,0.596686842943613,1.30498136225008,0.715441176470589,0.428144272098668,0.911183417691009,2.37427766541462,1.78324858757062,1.19459188783175,1.18168308277173,0.603043637697102,0.388732513104599,0.490898861185493
11,"M",57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"F",52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"M",21,99.7647058823529,88.5686274509804,78.531862745098,-8.2092795308343,0.722096245905768,1.61689041338932,0.501853959396453,1.17780616998057,1.20535663621404,1.47495151906916,1.14709996771763,1.55850172498768,1.81700929315686,1.2726750035935,1.15691649394932,0.775380359612723,0.786454224663707,0.457313005258614
14,"M",19,91.7454545454546,69.8666666666667,60.0989898989899,1.33085689143847,0.999807321772641,1.62019981267562,0.525589953073833,1.25812012792324,0.675911251980982,0.671300081766147,0.861390467861824,1.79910741029174,1.75241845958661,1.31794852004786,1.08670884083971,0.552846327794717,0.359705252862163,0.465771866427784
15,"F",26,118.056565656566,94.6262626262626,81.020202020202,4.06307354271681,1.21110269703501,1.98152015034454,0.567248490644988,1.19585427135679,0.719127450333311,0.661084098685396,0.808141905668072,1.58848849790657,1.5811786677734,1.28793576582986,1.09741528806188,0.608690600673876,0.263930350557769,0.444142061305101
16,"F",27,158.100490196078,139.821078431373,119.823529411765,1.31946065208935,1.18492489270387,2.10966070966071,0.82625631454018,2.00200093376909,1.00512663554977,1.01750605978992,0.888743455497385,1.40128930009423,1.48188546103868,1.28716747649177,1.13657371506561,0.52874000761325,0.43036990428271,0.432100719171458
17,"M",26,105.955882352941,76.3602941176471,62.1887254901961,-5.30160836038264,1.10634495084897,1.76128068057711,0.609819687139275,1.46238850497732,0.741733937852485,0.708311368827976,0.63808621506395,1.74611244019139,1.46993140053077,1.31945658218797,1.3153245524095,0.748160412067697,102.729725283768,0.444520274668739
18,"M",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"M",22,87.3382352941177,86.171568627451,83.7843137254902,1.91955201385457,0.891797453360971,1.71616612045345,0.509506491849299,1.14688868219868,0.753713193780944,0.712661498708012,0.671303138311748,1.70337547979228,1.60415630903848,1.30411544628541,1.1795460686301,0.716817593790426,0.347805931288499,0.453601667447867
20,"M",53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
